,region,category,parameter,mode,powertrain,year,unit,value
103,Chile,Historical,EV charging points,EV,Publicly available slow,2014,charging points,13
104,Chile,Historical,EV charging points,EV,Publicly available fast,2015,charging points,5
105,Chile,Historical,EV charging points,EV,Publicly available slow,2015,charging points,22
106,Chile,Historical,EV charging points,EV,Publicly available fast,2016,charging points,5
107,Chile,Historical,EV charging points,EV,Publicly available slow,2016,charging points,22
108,Chile,Historical,EV charging points,EV,Publicly available fast,2017,charging points,6
109,Chile,Historical,EV charging points,EV,Publicly available slow,2017,charging points,35
110,Chile,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8
111,Chile,Historical,EV charging points,EV,Publicly available slow,2018,charging points,61
112,Chile,Historical,EV charging points,EV,Publicly available fast,2019,charging points,42
113,Chile,Historical,EV charging points,EV,Publicly available slow,2019,charging points,130
114,Chile,Historical,EV charging points,EV,Publicly available fast,2020,charging points,99
115,Chile,Historical,EV charging points,EV,Publicly available slow,2020,charging points,240
116,Chile,Historical,EV charging points,EV,Publicly available fast,2021,charging points,120
117,Chile,Historical,EV charging points,EV,Publicly available slow,2021,charging points,360
122,China,Historical,EV charging points,EV,Publicly available fast,2014,charging points,9000
123,China,Historical,EV charging points,EV,Publicly available slow,2014,charging points,21000
124,China,Historical,EV charging points,EV,Publicly available fast,2015,charging points,12000
125,China,Historical,EV charging points,EV,Publicly available slow,2015,charging points,47000
126,China,Historical,EV charging points,EV,Publicly available fast,2016,charging points,55000
127,China,Historical,EV charging points,EV,Publicly available slow,2016,charging points,86000
128,China,Historical,EV charging points,EV,Publicly available fast,2017,charging points,83000
129,China,Historical,EV charging points,EV,Publicly available slow,2017,charging points,130000
130,China,Historical,EV charging points,EV,Publicly available fast,2018,charging points,110000
131,China,Historical,EV charging points,EV,Publicly available slow,2018,charging points,160000
132,China,Historical,EV charging points,EV,Publicly available fast,2019,charging points,210000
133,China,Historical,EV charging points,EV,Publicly available slow,2019,charging points,300000
134,China,Historical,EV charging points,EV,Publicly available fast,2020,charging points,310000
135,China,Historical,EV charging points,EV,Publicly available slow,2020,charging points,500000
136,China,Historical,EV charging points,EV,Publicly available fast,2021,charging points,470000
137,China,Historical,EV charging points,EV,Publicly available slow,2021,charging points,680000
142,Denmark,Historical,EV charging points,EV,Publicly available fast,2012,charging points,3
143,Denmark,Historical,EV charging points,EV,Publicly available slow,2012,charging points,900
144,Denmark,Historical,EV charging points,EV,Publicly available fast,2013,charging points,56
145,Denmark,Historical,EV charging points,EV,Publicly available slow,2013,charging points,990
146,Denmark,Historical,EV charging points,EV,Publicly available fast,2014,charging points,120
147,Denmark,Historical,EV charging points,EV,Publicly available slow,2014,charging points,1600
148,Denmark,Historical,EV charging points,EV,Publicly available fast,2015,charging points,270
149,Denmark,Historical,EV charging points,EV,Publicly available slow,2015,charging points,2100
150,Denmark,Historical,EV charging points,EV,Publicly available fast,2016,charging points,310
151,Denmark,Historical,EV charging points,EV,Publicly available slow,2016,charging points,4200
152,Denmark,Historical,EV charging points,EV,Publicly available fast,2017,charging points,370
153,Denmark,Historical,EV charging points,EV,Publicly available slow,2017,charging points,4200
154,Denmark,Historical,EV charging points,EV,Publicly available fast,2018,charging points,390
155,Denmark,Historical,EV charging points,EV,Publicly available slow,2018,charging points,4300
156,Denmark,Historical,EV charging points,EV,Publicly available fast,2019,charging points,450
157,Denmark,Historical,EV charging points,EV,Publicly available slow,2019,charging points,4500
158,Denmark,Historical,EV charging points,EV,Publicly available fast,2020,charging points,560
159,Denmark,Historical,EV charging points,EV,Publicly available slow,2020,charging points,5400
160,Denmark,Historical,EV charging points,EV,Publicly available fast,2021,charging points,240
161,Denmark,Historical,EV charging points,EV,Publicly available slow,2021,charging points,7000
166,EU27,Historical,EV charging points,EV,Publicly available slow,2010,charging points,7300
167,EU27,Historical,EV charging points,EV,Publicly available slow,2011,charging points,1500
168,EU27,Historical,EV charging points,EV,Publicly available fast,2011,charging points,6.099999905
169,EU27,Historical,EV charging points,EV,Publicly available fast,2012,charging points,59
170,EU27,Historical,EV charging points,EV,Publicly available slow,2012,charging points,8900
171,EU27,Historical,EV charging points,EV,Publicly available slow,2013,charging points,15000
172,EU27,Historical,EV charging points,EV,Publicly available fast,2013,charging points,400
173,EU27,Historical,EV charging points,EV,Publicly available fast,2014,charging points,690
174,EU27,Historical,EV charging points,EV,Publicly available slow,2014,charging points,23000
175,EU27,Historical,EV charging points,EV,Publicly available slow,2015,charging points,42000
176,EU27,Historical,EV charging points,EV,Publicly available fast,2015,charging points,2100
177,EU27,Historical,EV charging points,EV,Publicly available fast,2016,charging points,3100
178,EU27,Historical,EV charging points,EV,Publicly available slow,2016,charging points,72000
179,EU27,Historical,EV charging points,EV,Publicly available slow,2017,charging points,81000
180,EU27,Historical,EV charging points,EV,Publicly available fast,2017,charging points,5600
181,EU27,Historical,EV charging points,EV,Publicly available fast,2018,charging points,8600
182,EU27,Historical,EV charging points,EV,Publicly available slow,2018,charging points,98000
183,EU27,Historical,EV charging points,EV,Publicly available slow,2019,charging points,140000
184,EU27,Historical,EV charging points,EV,Publicly available fast,2019,charging points,12000
185,EU27,Historical,EV charging points,EV,Publicly available fast,2020,charging points,19000
186,EU27,Historical,EV charging points,EV,Publicly available slow,2020,charging points,180000
187,EU27,Historical,EV charging points,EV,Publicly available slow,2021,charging points,260000
188,EU27,Historical,EV charging points,EV,Publicly available fast,2021,charging points,29000
193,Europe,Historical,EV charging points,EV,Publicly available slow,2010,charging points,3200
